dataset,label,rolloff85,centroid
CtrSVDD,fake,2370.3,1303.5
CtrSVDD,fake,3667.6,2058.5
CtrSVDD,fake,3063.1,1595.4
CtrSVDD,fake,3240.9,1712.2
CtrSVDD,fake,4209.7,2267.3
CtrSVDD,fake,3209.2,1757.4
CtrSVDD,fake,3091.0,1728.3
CtrSVDD,fake,3033.2,1657.1
CtrSVDD,fake,3332.1,1860.0
CtrSVDD,fake,3257.3,1488.0
CtrSVDD,fake,2492.6,1397.7
CtrSVDD,fake,4227.5,2417.9
CtrSVDD,fake,2538.6,1345.1
CtrSVDD,fake,3750.6,1904.1
CtrSVDD,fake,4039.0,2296.5
CtrSVDD,fake,3939.4,2266.5
CtrSVDD,fake,3282.7,1704.4
CtrSVDD,fake,4119.8,2052.0
CtrSVDD,fake,2747.8,1511.6
CtrSVDD,fake,3528.2,1557.0
CtrSVDD,fake,3887.6,1852.4
CtrSVDD,fake,3959.2,2173.7
CtrSVDD,fake,4363.9,2209.1
CtrSVDD,fake,4283.2,2220.3
CtrSVDD,fake,3045.9,1559.4
CtrSVDD,fake,3423.7,1778.8
CtrSVDD,fake,4049.9,1839.6
CtrSVDD,fake,3613.6,2018.9
CtrSVDD,fake,4268.1,2405.6
CtrSVDD,fake,2937.2,1654.8
CtrSVDD,fake,2448.6,1593.3
CtrSVDD,fake,3094.1,1692.6
CtrSVDD,fake,4057.2,2020.0
CtrSVDD,fake,2776.9,1589.3
CtrSVDD,fake,4035.6,2184.2
CtrSVDD,fake,3381.2,1877.0
CtrSVDD,fake,3063.6,1640.1
CtrSVDD,fake,3414.3,1713.8
CtrSVDD,fake,3768.1,1936.8
CtrSVDD,fake,2765.2,1601.9
CtrSVDD,fake,3971.5,2271.9
CtrSVDD,fake,3836.1,2115.1
CtrSVDD,fake,4367.7,2291.1
CtrSVDD,fake,3621.4,2118.1
CtrSVDD,fake,3945.8,2158.8
CtrSVDD,fake,2096.8,1414.8
CtrSVDD,fake,3928.2,2247.1
CtrSVDD,fake,3523.7,1725.5
CtrSVDD,fake,3890.1,1956.1
CtrSVDD,fake,3725.4,1928.2
CtrSVDD,fake,3236.0,1610.1
CtrSVDD,fake,3364.7,1827.5
CtrSVDD,fake,3349.9,1897.7
CtrSVDD,fake,3019.8,1640.4
CtrSVDD,fake,3438.5,1760.5
CtrSVDD,fake,3608.6,1818.8
CtrSVDD,fake,4372.5,2469.1
CtrSVDD,fake,3667.1,1905.6
CtrSVDD,fake,4139.9,2158.1
CtrSVDD,fake,3009.5,1485.1
CtrSVDD,fake,3356.0,1937.0
CtrSVDD,fake,1885.1,1060.0
CtrSVDD,fake,3642.5,1947.6
CtrSVDD,fake,2733.6,1653.7
CtrSVDD,fake,3201.1,1635.7
CtrSVDD,fake,4243.4,2379.9
CtrSVDD,fake,3507.3,1822.7
CtrSVDD,fake,2524.0,1461.4
CtrSVDD,fake,3801.2,2297.8
CtrSVDD,fake,2524.5,1387.2
CtrSVDD,fake,2971.6,1531.0
CtrSVDD,fake,4096.3,2213.3
CtrSVDD,fake,4178.2,2248.1
CtrSVDD,fake,3333.3,1665.8
CtrSVDD,fake,3299.1,1796.5
CtrSVDD,fake,3548.9,1887.0
CtrSVDD,fake,3495.5,1869.2
CtrSVDD,fake,3839.0,1819.0
CtrSVDD,fake,3374.5,1904.8
CtrSVDD,fake,3393.4,1712.5
CtrSVDD,fake,3611.3,1945.7
CtrSVDD,fake,4078.2,2258.2
CtrSVDD,fake,3088.9,1617.8
CtrSVDD,fake,2659.2,1347.8
CtrSVDD,fake,2501.9,1405.0
CtrSVDD,fake,3736.4,1983.3
CtrSVDD,fake,4643.5,2611.1
CtrSVDD,fake,3343.3,1697.2
CtrSVDD,fake,4326.8,2317.6
CtrSVDD,fake,2586.8,1334.0
CtrSVDD,fake,4023.7,2272.1
CtrSVDD,fake,3905.2,2182.0
CtrSVDD,fake,2932.9,1389.6
CtrSVDD,fake,4803.0,2494.4
CtrSVDD,fake,3585.8,1813.7
CtrSVDD,fake,2624.7,1473.9
CtrSVDD,fake,3954.9,2232.6
CtrSVDD,fake,3902.7,2044.8
CtrSVDD,fake,2454.0,1267.8
CtrSVDD,fake,2240.7,1220.7
CtrSVDD,fake,2985.7,1546.5
CtrSVDD,fake,3432.1,1699.3
CtrSVDD,fake,3553.4,2029.3
CtrSVDD,fake,3520.0,1848.0
CtrSVDD,fake,2766.6,1458.8
CtrSVDD,fake,3111.0,1727.1
CtrSVDD,fake,2130.1,1258.9
CtrSVDD,fake,3215.1,1691.1
CtrSVDD,fake,3434.2,1977.7
CtrSVDD,fake,3424.9,1873.1
CtrSVDD,fake,3892.7,2044.9
CtrSVDD,fake,2486.9,1316.7
CtrSVDD,fake,3428.2,1628.1
CtrSVDD,fake,2609.2,1530.1
CtrSVDD,fake,4186.9,2182.4
CtrSVDD,fake,4026.7,2242.4
CtrSVDD,fake,3761.0,2077.2
CtrSVDD,fake,3768.3,2077.3
CtrSVDD,fake,2171.2,1280.7
CtrSVDD,fake,4325.2,2375.4
CtrSVDD,fake,3638.0,1970.5
CtrSVDD,fake,4184.5,2157.0
CtrSVDD,fake,3894.8,1968.6
CtrSVDD,fake,4177.1,1927.0
CtrSVDD,fake,4140.6,2438.6
CtrSVDD,fake,2846.5,1602.0
CtrSVDD,fake,3460.0,1848.6
CtrSVDD,fake,2589.4,1538.7
CtrSVDD,fake,3743.8,1939.3
CtrSVDD,fake,3588.1,2101.6
CtrSVDD,fake,3775.9,2205.8
CtrSVDD,fake,2562.3,1541.5
CtrSVDD,fake,1932.7,1180.6
CtrSVDD,fake,2940.7,1632.8
CtrSVDD,fake,3460.1,1796.8
CtrSVDD,fake,3327.3,1927.8
CtrSVDD,fake,2970.8,1609.3
CtrSVDD,fake,3791.8,2093.4
CtrSVDD,fake,4060.0,2343.8
CtrSVDD,fake,3958.4,2230.4
CtrSVDD,fake,3862.2,2040.0
CtrSVDD,fake,3140.1,1862.3
CtrSVDD,fake,4202.9,2200.2
CtrSVDD,fake,3448.7,1435.1
CtrSVDD,fake,4917.9,2671.5
CtrSVDD,fake,2471.6,1472.7
CtrSVDD,fake,4277.5,2300.3
CtrSVDD,fake,3233.3,1742.5
CtrSVDD,fake,3250.3,1661.1
CtrSVDD,fake,3460.6,1654.3
CtrSVDD,fake,3579.9,1946.7
CtrSVDD,fake,3905.4,2167.7
CtrSVDD,fake,4076.4,2099.6
CtrSVDD,fake,3637.5,1798.0
CtrSVDD,fake,2780.1,1568.8
CtrSVDD,fake,3835.7,2190.1
CtrSVDD,fake,3389.9,2004.9
CtrSVDD,fake,4230.8,2500.7
CtrSVDD,fake,3768.4,2252.9
CtrSVDD,fake,2128.8,1253.9
CtrSVDD,fake,3657.0,2087.2
CtrSVDD,fake,2803.8,1288.1
CtrSVDD,fake,2692.0,1688.0
CtrSVDD,fake,3667.8,2023.0
CtrSVDD,fake,3863.8,2110.6
CtrSVDD,fake,2366.7,1326.1
CtrSVDD,fake,3503.0,1650.6
CtrSVDD,fake,3652.4,2079.5
CtrSVDD,fake,3987.5,2208.3
CtrSVDD,fake,3824.7,2006.4
CtrSVDD,fake,2359.9,1281.7
CtrSVDD,fake,2872.9,1635.4
CtrSVDD,fake,2848.7,1625.3
CtrSVDD,fake,3827.7,2118.9
CtrSVDD,fake,3339.4,1520.8
CtrSVDD,fake,4104.6,2405.0
CtrSVDD,fake,2823.0,1653.3
CtrSVDD,fake,2928.2,1611.0
CtrSVDD,fake,3731.7,2184.9
CtrSVDD,fake,2840.2,1637.7
CtrSVDD,fake,3087.7,1724.8
CtrSVDD,fake,2545.7,1578.6
CtrSVDD,fake,2428.4,1432.3
CtrSVDD,fake,3657.0,2105.4
CtrSVDD,fake,3926.5,2201.6
CtrSVDD,fake,2255.4,1106.3
CtrSVDD,fake,3885.2,2047.0
CtrSVDD,fake,3412.9,1567.2
CtrSVDD,fake,3035.1,1532.9
CtrSVDD,fake,3969.5,2120.6
CtrSVDD,fake,2573.2,1307.3
CtrSVDD,fake,3144.8,1553.9
CtrSVDD,fake,3040.2,1622.0
CtrSVDD,fake,3770.1,2025.7
CtrSVDD,fake,3325.5,1776.6
CtrSVDD,fake,3414.8,1892.6
CtrSVDD,fake,3033.4,1404.2
CtrSVDD,fake,2589.1,1435.1
CtrSVDD,fake,3405.3,1951.8
CtrSVDD,fake,3855.3,2139.0
CtrSVDD,fake,1702.5,1153.7
CtrSVDD,fake,3596.0,1899.1
CtrSVDD,fake,3158.2,1688.8
CtrSVDD,fake,2521.9,1475.9
CtrSVDD,fake,3288.2,1838.2
CtrSVDD,fake,3403.6,1579.4
CtrSVDD,fake,3309.2,1870.1
CtrSVDD,fake,4219.2,2283.4
CtrSVDD,fake,3068.3,1647.5
CtrSVDD,fake,4015.3,2108.7
CtrSVDD,fake,3409.8,1536.9
CtrSVDD,fake,3809.8,2048.9
CtrSVDD,fake,3856.3,2104.5
CtrSVDD,fake,2020.1,1071.3
CtrSVDD,fake,2903.7,1454.5
CtrSVDD,fake,2882.3,1559.4
CtrSVDD,fake,4021.5,2333.3
CtrSVDD,fake,2510.7,1264.5
CtrSVDD,fake,3533.8,1988.3
CtrSVDD,fake,4139.5,2184.3
CtrSVDD,fake,2881.1,1597.0
CtrSVDD,fake,3203.2,1847.1
CtrSVDD,fake,4188.4,2329.0
CtrSVDD,fake,2852.8,1553.8
CtrSVDD,fake,2792.9,1350.4
CtrSVDD,fake,4096.3,2097.6
CtrSVDD,fake,3281.3,1672.8
CtrSVDD,fake,3964.9,2232.4
CtrSVDD,fake,2611.2,1473.6
CtrSVDD,fake,2256.4,1296.8
CtrSVDD,fake,3263.4,1622.2
CtrSVDD,fake,3532.3,1918.9
CtrSVDD,fake,2019.7,1116.7
CtrSVDD,fake,3014.8,1357.5
CtrSVDD,fake,3809.2,1943.0
CtrSVDD,fake,2088.2,1066.4
CtrSVDD,fake,3512.9,1660.3
CtrSVDD,fake,3374.2,1820.0
CtrSVDD,fake,3376.2,1826.8
CtrSVDD,fake,2966.1,1612.2
CtrSVDD,fake,2748.8,1579.5
CtrSVDD,fake,3761.4,2047.5
CtrSVDD,fake,3480.1,2031.8
CtrSVDD,fake,3301.8,1716.2
CtrSVDD,real,2801.6,1329.6
CtrSVDD,real,2806.2,1371.2
CtrSVDD,real,2698.0,1427.1
CtrSVDD,real,3759.7,2255.8
CtrSVDD,real,2177.8,1148.1
CtrSVDD,real,4256.8,2366.7
CtrSVDD,real,2778.1,1375.7
CtrSVDD,real,3565.2,1975.9
CtrSVDD,real,2722.3,1497.2
CtrSVDD,real,3320.1,1761.4
CtrSVDD,real,3348.1,1751.6
CtrSVDD,real,2495.2,1469.3
CtrSVDD,real,3208.7,1698.4
CtrSVDD,real,1887.6,1055.5
CtrSVDD,real,3735.6,1926.3
CtrSVDD,real,2555.5,1391.6
CtrSVDD,real,2165.9,1165.1
CtrSVDD,real,2947.7,1519.9
CtrSVDD,real,4221.2,2415.4
CtrSVDD,real,3416.1,1792.4
CtrSVDD,real,2594.1,1426.6
CtrSVDD,real,2991.6,1720.5
CtrSVDD,real,2802.4,1474.3
CtrSVDD,real,3202.2,1651.9
CtrSVDD,real,2673.1,1552.1
CtrSVDD,real,3228.3,1646.2
CtrSVDD,real,2580.1,1492.5
CtrSVDD,real,4179.2,2335.9
CtrSVDD,real,2799.1,1489.5
CtrSVDD,real,2581.9,1324.2
CtrSVDD,real,1977.9,984.3
CtrSVDD,real,3401.0,1769.1
CtrSVDD,real,3387.5,1963.5
CtrSVDD,real,2190.2,1273.1
CtrSVDD,real,2393.9,1231.9
CtrSVDD,real,2183.3,1116.3
CtrSVDD,real,2546.1,1384.5
CtrSVDD,real,3137.5,1675.7
CtrSVDD,real,3502.2,1796.0
CtrSVDD,real,4038.2,2416.0
CtrSVDD,real,2893.2,1391.7
CtrSVDD,real,3923.2,2178.7
CtrSVDD,real,3810.4,2185.5
CtrSVDD,real,3557.6,1761.3
CtrSVDD,real,3457.5,1852.1
CtrSVDD,real,3900.6,2136.2
CtrSVDD,real,3023.2,1556.6
CtrSVDD,real,3772.1,2000.1
CtrSVDD,real,2692.0,1754.4
CtrSVDD,real,3344.4,1656.6
CtrSVDD,real,2569.4,1442.4
CtrSVDD,real,4232.3,2297.0
CtrSVDD,real,2855.4,1680.2
CtrSVDD,real,2381.5,1257.1
CtrSVDD,real,3819.0,2100.5
CtrSVDD,real,2313.8,1379.8
CtrSVDD,real,2786.9,1615.2
CtrSVDD,real,2817.0,1684.9
CtrSVDD,real,2800.4,1489.1
CtrSVDD,real,3400.2,1953.5
CtrSVDD,real,3363.1,1946.4
CtrSVDD,real,3098.0,1719.4
CtrSVDD,real,3109.8,1702.6
CtrSVDD,real,2902.6,1529.9
CtrSVDD,real,3343.7,1716.8
CtrSVDD,real,2498.2,1407.1
CtrSVDD,real,3572.2,1870.0
CtrSVDD,real,2857.0,1435.2
CtrSVDD,real,3888.2,2088.0
CtrSVDD,real,3087.5,1632.4
CtrSVDD,real,3084.6,1664.0
CtrSVDD,real,2717.0,1489.6
CtrSVDD,real,2936.3,1574.8
CtrSVDD,real,3697.3,1942.6
CtrSVDD,real,2759.9,1524.4
CtrSVDD,real,2634.9,1464.0
CtrSVDD,real,3938.8,2214.5
CtrSVDD,real,3182.1,1863.0
CtrSVDD,real,3667.2,1929.9
CtrSVDD,real,3768.2,2105.5
CtrSVDD,real,1924.9,908.5
CtrSVDD,real,2075.5,1197.3
CtrSVDD,real,3419.6,1790.5
CtrSVDD,real,3278.4,1801.1
CtrSVDD,real,2629.8,1456.3
CtrSVDD,real,2440.5,1277.7
CtrSVDD,real,3133.9,1652.6
CtrSVDD,real,2179.3,1292.2
CtrSVDD,real,3704.5,2040.0
CtrSVDD,real,3127.1,1641.1
CtrSVDD,real,3270.8,1540.6
CtrSVDD,real,2861.8,1564.1
CtrSVDD,real,2802.2,1565.8
CtrSVDD,real,3538.8,1885.3
CtrSVDD,real,3805.5,2064.5
CtrSVDD,real,3697.5,1951.7
CtrSVDD,real,2658.2,1440.3
CtrSVDD,real,3668.5,1983.5
CtrSVDD,real,2463.1,1090.0
CtrSVDD,real,2905.7,1505.9
CtrSVDD,real,2701.0,1471.7
CtrSVDD,real,2768.8,1486.6
CtrSVDD,real,2715.0,1552.7
CtrSVDD,real,4076.1,2164.5
CtrSVDD,real,4354.4,2284.4
CtrSVDD,real,4196.4,2394.9
CtrSVDD,real,4019.1,2049.1
CtrSVDD,real,4073.0,2099.5
CtrSVDD,real,2998.7,1638.4
CtrSVDD,real,3264.4,1601.5
CtrSVDD,real,2554.1,1427.5
CtrSVDD,real,3788.3,2149.8
CtrSVDD,real,4324.5,2387.9
CtrSVDD,real,3079.1,1590.8
CtrSVDD,real,2368.4,1358.9
CtrSVDD,real,1504.3,868.7
CtrSVDD,real,3628.9,2065.6
CtrSVDD,real,3025.0,1498.9
CtrSVDD,real,3434.0,1949.3
CtrSVDD,real,1826.7,961.0
CtrSVDD,real,2342.0,1256.2
CtrSVDD,real,2064.9,1174.8
CtrSVDD,real,3368.7,1993.0
CtrSVDD,real,2976.7,1632.1
CtrSVDD,real,4104.8,2190.7
CtrSVDD,real,4254.1,2283.5
CtrSVDD,real,3068.2,1713.3
CtrSVDD,real,2678.4,1415.7
CtrSVDD,real,3573.8,2218.5
CtrSVDD,real,3752.9,1994.5
CtrSVDD,real,3036.4,1686.3
CtrSVDD,real,3618.0,1829.2
CtrSVDD,real,3984.5,2251.8
CtrSVDD,real,2236.9,1172.3
CtrSVDD,real,3244.4,1567.7
CtrSVDD,real,2145.7,1098.7
CtrSVDD,real,3253.3,1819.5
CtrSVDD,real,3143.1,1626.2
CtrSVDD,real,2094.0,1135.2
CtrSVDD,real,3013.3,1599.0
CtrSVDD,real,3072.7,1604.6
CtrSVDD,real,3851.6,2075.5
CtrSVDD,real,3305.7,1884.9
CtrSVDD,real,3185.3,1721.1
CtrSVDD,real,4179.5,2356.9
CtrSVDD,real,3126.5,1783.6
CtrSVDD,real,3839.2,1953.6
CtrSVDD,real,3384.6,1888.6
CtrSVDD,real,4378.5,2264.7
CtrSVDD,real,2688.7,1353.5
CtrSVDD,real,3741.9,2009.6
CtrSVDD,real,3380.7,1793.1
CtrSVDD,real,2337.7,1257.9
CtrSVDD,real,3488.2,1841.0
CtrSVDD,real,3200.3,1731.8
CtrSVDD,real,3608.2,1918.8
CtrSVDD,real,4205.4,2048.2
CtrSVDD,real,2420.3,1392.8
CtrSVDD,real,3730.5,2061.2
CtrSVDD,real,3975.2,2218.2
CtrSVDD,real,2636.6,1530.6
CtrSVDD,real,2346.1,1186.1
CtrSVDD,real,3220.7,1779.1
CtrSVDD,real,4190.3,2226.7
CtrSVDD,real,1955.4,981.8
CtrSVDD,real,3996.8,2287.7
CtrSVDD,real,3711.2,1942.0
CtrSVDD,real,3714.3,1752.3
CtrSVDD,real,3694.3,1999.4
CtrSVDD,real,4098.0,2265.5
CtrSVDD,real,3947.3,2164.5
CtrSVDD,real,3619.9,1977.7
CtrSVDD,real,3453.3,1810.1
CtrSVDD,real,2674.7,1247.2
CtrSVDD,real,3591.3,1915.3
CtrSVDD,real,3283.4,1862.7
CtrSVDD,real,3472.8,1920.7
CtrSVDD,real,3930.1,2152.1
CtrSVDD,real,3880.1,2161.5
CtrSVDD,real,3311.0,1680.7
CtrSVDD,real,4035.8,2178.5
CtrSVDD,real,3349.3,1807.2
CtrSVDD,real,2546.8,1397.4
CtrSVDD,real,3105.3,1618.8
CtrSVDD,real,2831.9,1519.6
CtrSVDD,real,2314.7,1252.7
CtrSVDD,real,2451.5,1366.1
CtrSVDD,real,2560.5,1468.3
CtrSVDD,real,3326.7,1800.4
CtrSVDD,real,2551.7,1430.9
CtrSVDD,real,3577.4,1927.7
CtrSVDD,real,2409.1,1348.1
CtrSVDD,real,4025.7,2151.6
CtrSVDD,real,3683.5,1957.4
CtrSVDD,real,3723.7,1899.2
CtrSVDD,real,4369.1,2131.4
CtrSVDD,real,1861.7,1143.4
CtrSVDD,real,2413.0,1371.3
CtrSVDD,real,3318.5,1707.9
CtrSVDD,real,3282.3,1797.2
CtrSVDD,real,2657.7,1454.6
CtrSVDD,real,3464.3,1948.0
CtrSVDD,real,3728.3,2101.1
CtrSVDD,real,3066.1,1623.6
CtrSVDD,real,1776.7,906.6
CtrSVDD,real,3127.2,1586.5
CtrSVDD,real,3263.7,1754.7
CtrSVDD,real,1997.8,1050.7
CtrSVDD,real,3257.5,1795.8
CtrSVDD,real,2240.6,1168.9
CtrSVDD,real,3417.2,1794.4
CtrSVDD,real,3780.6,2090.1
CtrSVDD,real,3230.7,1860.8
CtrSVDD,real,1877.5,1063.0
CtrSVDD,real,3442.6,1874.6
CtrSVDD,real,3257.4,1818.1
CtrSVDD,real,2748.2,1516.7
CtrSVDD,real,2341.3,1172.0
CtrSVDD,real,3036.9,1786.5
CtrSVDD,real,3225.7,1740.3
CtrSVDD,real,3291.4,1849.1
CtrSVDD,real,1527.5,866.3
CtrSVDD,real,3882.0,1921.1
CtrSVDD,real,3954.3,2227.3
CtrSVDD,real,3316.6,1746.2
CtrSVDD,real,3571.3,1694.4
CtrSVDD,real,3713.2,2063.7
CtrSVDD,real,2089.3,1145.2
CtrSVDD,real,2550.0,1499.0
CtrSVDD,real,2977.1,1526.1
CtrSVDD,real,3946.9,2120.0
CtrSVDD,real,2383.6,1406.9
CtrSVDD,real,3426.4,1721.1
CtrSVDD,real,3758.9,2132.3
CtrSVDD,real,2302.0,1459.4
CtrSVDD,real,4030.8,2287.7
CtrSVDD,real,3929.2,2075.8
CtrSVDD,real,3624.0,1930.8
CtrSVDD,real,3330.0,1821.4
CtrSVDD,real,3226.9,1630.6
CtrSVDD,real,3525.5,1794.9
CtrSVDD,real,3473.2,1888.7
CtrSVDD,real,3308.2,1923.5
CtrSVDD,real,2721.4,1418.5
CtrSVDD,real,2777.3,1574.4
CtrSVDD,real,3710.1,1964.0
CtrSVDD,real,3640.6,2059.4
CtrSVDD,real,3270.2,1610.2
CtrSVDD,real,3320.1,1718.7
CtrSVDD,real,3563.6,1914.0
SingerLens,fake,3694.0,1983.2
SingerLens,fake,3477.0,1850.3
SingerLens,fake,3250.9,1990.0
SingerLens,fake,3051.1,1891.6
SingerLens,fake,2686.7,1650.1
SingerLens,fake,3434.2,1732.8
SingerLens,fake,3822.5,2131.6
SingerLens,fake,4432.1,2527.0
SingerLens,fake,2541.1,1463.2
SingerLens,fake,3519.2,2086.3
SingerLens,fake,3121.7,1959.0
SingerLens,fake,3535.5,2166.7
SingerLens,fake,3397.8,1888.0
SingerLens,fake,3609.1,2127.7
SingerLens,fake,3685.6,2208.1
SingerLens,fake,3204.1,1973.3
SingerLens,fake,3145.2,1910.9
SingerLens,fake,3207.3,1696.8
SingerLens,fake,4071.2,2191.6
SingerLens,fake,3290.0,1921.8
SingerLens,fake,4185.2,2298.9
SingerLens,fake,3246.1,1834.6
SingerLens,fake,3281.9,1884.0
SingerLens,fake,3140.4,1814.5
SingerLens,fake,3267.3,1864.7
SingerLens,fake,3717.1,2029.4
SingerLens,fake,3610.5,2089.8
SingerLens,fake,3838.7,2060.2
SingerLens,fake,3383.0,1888.3
SingerLens,fake,3262.8,1907.9
SingerLens,fake,3365.3,1886.8
SingerLens,fake,3203.1,1774.7
SingerLens,fake,3483.3,1897.6
SingerLens,fake,3472.0,1987.0
SingerLens,fake,2807.7,1579.6
SingerLens,fake,3354.3,1888.8
SingerLens,fake,3468.8,1978.9
SingerLens,fake,3291.7,1738.4
SingerLens,fake,3437.2,2011.2
SingerLens,fake,3506.6,2024.0
SingerLens,fake,2396.6,1533.9
SingerLens,fake,4256.7,2386.9
SingerLens,fake,3262.1,1774.9
SingerLens,fake,3734.2,2123.0
SingerLens,fake,3068.3,1765.1
SingerLens,fake,3443.6,1898.5
SingerLens,fake,3482.0,1911.9
SingerLens,fake,3562.7,2044.3
SingerLens,fake,3594.3,1855.0
SingerLens,fake,4013.9,2314.9
SingerLens,fake,2457.6,1570.9
SingerLens,fake,2969.7,1685.6
SingerLens,fake,3428.4,1832.9
SingerLens,fake,2863.6,1784.5
SingerLens,fake,3978.9,2297.6
SingerLens,fake,3680.7,2066.7
SingerLens,fake,3507.2,2081.5
SingerLens,fake,3651.1,2043.8
SingerLens,fake,3126.8,1918.8
SingerLens,fake,3692.1,2077.0
SingerLens,fake,3374.3,1756.9
SingerLens,fake,3981.4,2088.2
SingerLens,fake,5031.9,2921.0
SingerLens,fake,3376.8,1939.8
SingerLens,fake,3079.4,1888.3
SingerLens,fake,4158.9,2444.3
SingerLens,fake,3744.1,2006.8
SingerLens,fake,3092.9,1758.3
SingerLens,fake,4497.5,2477.6
SingerLens,fake,3989.4,2086.7
SingerLens,fake,3245.8,1891.2
SingerLens,fake,3694.2,2026.1
SingerLens,fake,3195.8,1741.3
SingerLens,fake,4054.2,2126.8
SingerLens,fake,3379.5,1909.6
SingerLens,fake,3642.0,1915.5
SingerLens,fake,2746.0,1690.5
SingerLens,fake,3775.0,2108.8
SingerLens,fake,3307.2,2073.9
SingerLens,fake,3606.0,1986.6
SingerLens,fake,3636.3,2016.9
SingerLens,fake,4356.8,2466.3
SingerLens,fake,3261.0,2009.9
SingerLens,fake,3469.7,1984.1
SingerLens,fake,3790.4,2088.3
SingerLens,fake,3591.2,1840.2
SingerLens,fake,3613.4,2074.4
SingerLens,fake,4639.3,2602.3
SingerLens,fake,2987.4,1811.0
SingerLens,fake,3381.7,2029.4
SingerLens,fake,3184.7,1696.1
SingerLens,fake,3602.5,2090.4
SingerLens,fake,3769.4,2162.3
SingerLens,fake,3150.3,1834.9
SingerLens,fake,4316.6,2405.7
SingerLens,fake,2546.9,1668.9
SingerLens,fake,3461.3,1936.0
SingerLens,fake,3824.0,2080.8
SingerLens,fake,2488.9,1577.3
SingerLens,fake,3228.1,1872.0
SingerLens,fake,3494.5,1964.1
SingerLens,fake,3380.6,1937.5
SingerLens,fake,3131.2,1757.0
SingerLens,fake,3596.0,1990.3
SingerLens,fake,4323.0,2454.4
SingerLens,fake,4642.6,2508.0
SingerLens,fake,3386.0,1901.6
SingerLens,fake,3404.5,2031.6
SingerLens,fake,3625.4,2050.6
SingerLens,fake,2587.8,1723.2
SingerLens,fake,3793.2,2206.4
SingerLens,fake,3254.9,1838.7
SingerLens,fake,3039.8,1740.9
SingerLens,fake,4324.0,2407.0
SingerLens,fake,4526.2,2476.6
SingerLens,fake,4763.2,2498.3
SingerLens,fake,3498.7,2069.3
SingerLens,fake,4392.2,2415.6
SingerLens,fake,3522.9,1977.3
SingerLens,fake,3622.4,2011.2
SingerLens,fake,2988.6,1901.0
SingerLens,fake,4239.7,2439.6
SingerLens,fake,3345.5,1815.3
SingerLens,fake,3474.5,1973.2
SingerLens,fake,5077.1,2755.3
SingerLens,fake,3131.3,1748.2
SingerLens,fake,3481.7,1885.5
SingerLens,fake,3127.6,1716.1
SingerLens,fake,3771.7,2137.7
SingerLens,fake,3225.6,1976.4
SingerLens,fake,3121.2,1778.1
SingerLens,fake,5051.4,2847.7
SingerLens,fake,3678.2,2104.7
SingerLens,fake,3731.8,2052.4
SingerLens,fake,3297.4,1986.7
SingerLens,fake,3626.4,2122.8
SingerLens,fake,3904.6,2163.5
SingerLens,fake,3221.8,1873.7
SingerLens,fake,4000.6,2207.3
SingerLens,fake,5027.4,2674.9
SingerLens,fake,3418.3,1936.8
SingerLens,fake,3865.6,2098.7
SingerLens,fake,3636.6,2080.5
SingerLens,fake,3771.8,2135.3
SingerLens,fake,3609.1,2072.5
SingerLens,fake,4022.8,2156.8
SingerLens,fake,3995.2,2196.2
SingerLens,fake,3672.8,2090.0
SingerLens,fake,3532.2,1893.0
SingerLens,fake,3103.1,1802.6
SingerLens,fake,3817.8,2114.8
SingerLens,fake,3546.9,2068.9
SingerLens,fake,3771.2,2134.3
SingerLens,fake,3840.8,1900.5
SingerLens,fake,3310.5,1920.8
SingerLens,fake,4093.8,2194.9
SingerLens,fake,3189.5,1743.0
SingerLens,fake,3231.7,1926.6
SingerLens,fake,3642.2,1954.9
SingerLens,fake,4853.5,2643.9
SingerLens,fake,3231.3,1743.9
SingerLens,fake,3333.0,1938.3
SingerLens,fake,3217.0,1867.5
SingerLens,fake,2901.1,1843.4
SingerLens,fake,3311.6,1880.6
SingerLens,fake,3259.5,1987.0
SingerLens,fake,3528.4,2047.2
SingerLens,fake,3028.2,1894.7
SingerLens,fake,3375.9,2020.9
SingerLens,fake,3623.8,2068.2
SingerLens,fake,3377.4,1803.3
SingerLens,fake,3447.7,1966.6
SingerLens,fake,3369.5,1939.1
SingerLens,fake,3702.9,2056.8
SingerLens,fake,4006.5,2083.0
SingerLens,fake,3535.4,2137.6
SingerLens,fake,3810.3,2061.8
SingerLens,fake,3764.0,2080.1
SingerLens,fake,3505.7,2115.8
SingerLens,fake,2870.1,1763.9
SingerLens,fake,3602.1,1998.8
SingerLens,fake,3513.0,2063.3
SingerLens,fake,3434.8,1935.7
SingerLens,fake,3495.9,2068.6
SingerLens,fake,4010.3,2264.9
SingerLens,fake,3574.0,2086.5
SingerLens,fake,3637.1,2093.9
SingerLens,fake,3239.3,1844.8
SingerLens,fake,3351.2,1988.1
SingerLens,fake,4529.2,2460.5
SingerLens,fake,4552.5,2434.2
SingerLens,fake,3283.1,1834.9
SingerLens,fake,2936.0,1841.1
SingerLens,fake,4036.8,2076.5
SingerLens,fake,3810.5,2297.8
SingerLens,fake,3491.2,2056.4
SingerLens,fake,3673.6,2090.7
SingerLens,fake,3447.1,2017.5
SingerLens,fake,3845.9,2165.4
SingerLens,fake,3506.8,1905.4
SingerLens,fake,3297.8,1754.7
