idx,label,singer,model,url,SingFake_Set,Language,Singer,Title,Bonafide Or Deepfake,Platform,Model,downloaded_raw,demucs_ready,in_features,feature_clip_count
wild_0028,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1Qc41137Hs/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《樱花树下》cover.张敬轩 高考结束快乐,deepfake,,Sovits4.0,False,False,False,0
wild_0029,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1j24y1K7Fu/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《七友（改）》cover.梁汉文 原来无照顾到你的感受 恨意昏头 引诱我出口,deepfake,,Sovits4.0,True,True,True,3
wild_0030,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1eP41197MC/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《隐形游乐场》cover.张敬轩 想得到烟花 马上有烟花你未看到吗,deepfake,,Sovits4.0,True,True,True,3
wild_0031,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1E24y1P7MJ/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Mandarin,Eason_Chan,【AI陈奕迅】《说好的幸福呢》cover.周杰伦 怎么了 你累了 说好的 幸福呢我懂了 不说了 爱淡了 梦远了,deepfake,,Sovits4.0,False,False,False,0
wild_0032,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV19z4y1t7Ws/?spm_id_from=pageDriver&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《面具》（天后粤语版）谁明白像和你 也许重逢遗憾太多却不能倒流的钟,deepfake,,Sovits4.0,False,False,False,0
wild_0033,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1QM4y1v7zL/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《东京人寿》cover.容祖儿 明年保了寿命 谁说一定有伴侣与东京明年即使有热血 初樱初雪又如何约定,deepfake,,Sovits4.0,False,False,False,0
wild_0034,real,Eason_Chan,,https://www.bilibili.com/video/BV1CT411E793/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619,T02,Cantonese,Eason_Chan,【4K60FPS】陈奕迅《阿牛》《与我常在》神级现场！祝生日快乐！,bonafide,,,True,True,True,3
wild_0035,real,Eason_Chan,,https://www.bilibili.com/video/BV1eU4y1p77j/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619,T02,Cantonese,Eason_Chan,【百万纪念】陈奕迅《落花流水》神级现场！落花有意，流水无情~,bonafide,,,True,True,True,3
wild_0036,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1zk4y1p7wU/?spm_id_from=333.337.search-card.all.click&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《勇》cover.杨千嬅,deepfake,,Sovits4.0,True,True,True,3
wild_0037,real,Eason_Chan,,https://www.bilibili.com/video/BV1Rf4y1u7yc/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619,T02,Cantonese,Eason_Chan,【4K60FPS】陈奕迅《不来也不去》神级现场！像我没来过没去过~,bonafide,,,True,True,True,3
wild_0038,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1rX4y1179k/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《爱得太迟》 cover.古巨基 纵不信运 你不过是人理想很远 爱於咫尺却在等,deepfake,,Sovits4.0,True,True,True,3
wild_0039,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1wo4y1g7xc/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Mandarin,Eason_Chan,【AI陈奕迅】《遇见》cover.孙燕姿 我遇见你是最美丽的意外,deepfake,,Sovits4.0,False,False,False,0
wild_0040,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1Ys4y1Q7VK/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《我不如》cover.曾比特 你不如养一只狗便宜地令你满足比我可爱的密友,deepfake,,Sovits4.0,False,False,False,0
wild_0041,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1PT41187KN/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《谁知我这种男孩子》（《野孩子》改）明日我绝不敢多放肆,deepfake,,Sovits4.0,True,True,True,3
wild_0042,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1qP411e7ac/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Mandarin,Eason_Chan,【AI陈奕迅】《凄美地》cover.郭顶 等我找到你试探你眼睛,deepfake,,Sovits4.0,False,False,False,0
wild_0043,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1Yh4y1x71k/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Mandarin,Eason_Chan,【AI陈奕迅】《开始懂了》 cover.孙燕姿 相信你只是怕伤害我不是骗我很爱过谁会舍得,deepfake,,Sovits4.0,True,True,True,3
wild_0044,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1Zh4y1J7kW/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Japanese,Eason_Chan,【AI陈奕迅】《Lemon》cover.米津玄师 时至今日 你仍是我的光芒,deepfake,,Sovits4.0,False,False,False,0
wild_0045,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1uX4y1y72K/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Mandarin,Eason_Chan,【AI陈奕迅】《依然爱你》cover.王力宏 我依然爱你 就是唯一的退路我依然珍惜 时时刻刻的幸福,deepfake,,Sovits4.0,True,True,True,3
wild_0046,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1Eh4y1d7we/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Mandarin,Eason_Chan,【AI陈奕迅】《下雨天》cover.南拳妈妈 被爱的人不用道歉,deepfake,,Sovits4.0,False,False,False,0
wild_0047,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1Zu411p76u/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《嘉宾（粤语）》 我不是词神版 cover.常颖杰,deepfake,,Sovits4.0,True,True,True,3
wild_0048,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1rL41187Za/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Mandarin,Eason_Chan,【AI陈奕迅】《漠河舞厅》cover.柳爽 晚星就像你的眼睛,deepfake,,Sovits4.0,False,False,False,0
wild_0049,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1sX4y1t7va/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《终身美丽》cover.郑秀文,deepfake,,Sovits4.0,True,True,True,3
wild_0050,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1wT41147xu/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《痛爱》cover.容祖儿 要为错的人伤过恨过方算是勇敢长世间不喜欢开心 喜欢痛心,deepfake,,Sovits4.0,False,False,False,0
wild_0051,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1G8411Z7nF/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《再见二丁目》cover.杨千嬅 不抽象版~,deepfake,,Sovits4.0,True,True,True,3
wild_0052,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1im4y1Y7YQ/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Mandarin,Eason_Chan,【AI陈奕迅】废话版《阴天快乐》 这下陈奕迅更怀疑了,deepfake,,Sovits4.0,True,True,True,3
wild_0053,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1tT41147Pg/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《街灯晚餐》cover.卫兰 难道是为了安置未来才爱你谁要计算过安享晚福便一起,deepfake,,Sovits4.0,True,True,True,3
wild_0054,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1QP41167Mv/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《淘汰（粤语）》我不是词神版 cover.常颖杰,deepfake,,Sovits4.0,True,True,True,2
wild_0055,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1Uo4y1g74J/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Mandarin,Eason_Chan,【AI陈奕迅】《流沙》cover.陶喆 爱情好像流沙我不挣扎随它去吧 我不害怕,deepfake,,Sovits4.0,True,True,True,3
wild_0056,real,Eason_Chan,,https://www.bilibili.com/video/BV1Jo4y1a7pA?p=79,T02,Cantonese,Eason_Chan,079. 给爱丽斯,bonafide,,,True,True,True,3
wild_0057,real,Eason_Chan,,https://www.bilibili.com/video/BV1Jo4y1a7pA?p=13,T02,Cantonese,Eason_Chan,013. 一丝不挂,bonafide,,,True,True,True,3
wild_0058,real,Eason_Chan,,https://www.bilibili.com/video/BV1kV4y1D7vF/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619,T02,Mandarin,Eason_Chan,【4K | 修复】陈奕迅《你给我听好》为爱情折腰 难道不是你一直以来戒不掉的癖好,bonafide,,,True,True,True,3
wild_0059,real,Eason_Chan,,https://www.bilibili.com/video/BV1Jo4y1a7pA?p=25,T02,Mandarin,Eason_Chan,025. 可以了,bonafide,,,True,True,True,3
wild_0060,real,Eason_Chan,,https://www.bilibili.com/video/BV1Jo4y1a7pA?p=12,T02,Mandarin,Eason_Chan,012. 我们,bonafide,,,True,True,True,1
wild_0061,real,Eason_Chan,,https://www.bilibili.com/video/BV1Jo4y1a7pA?p=76,T02,Cantonese,Eason_Chan,076. 一切还好,bonafide,,,True,True,True,3
wild_0062,real,Eason_Chan,,https://www.bilibili.com/video/BV11W4y1z73R/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619,T02,Cantonese,Eason_Chan,【4K60FPS】陈奕迅《明年今日》神级现场！希望大家都没有遗憾,bonafide,,,True,True,True,2
wild_0063,real,Eason_Chan,,https://www.bilibili.com/video/BV1gU4y1F7d4/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619,T02,Cantonese,Eason_Chan,陈奕迅Eason《最佳损友》高清修复1080p MV,bonafide,,,True,True,True,3
wild_0064,real,Eason_Chan,,https://www.bilibili.com/video/BV1x54y1G7Z6/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619,T02,Cantonese,Eason_Chan,【4K60FPS】陈奕迅《无人之境》经典现场！这爱情无人证~,bonafide,,,True,True,True,3
wild_0065,real,Eason_Chan,,https://www.bilibili.com/video/BV1Jo4y1a7pA?p=22,T02,Cantonese,Eason_Chan,022. 一生中最爱,bonafide,,,True,True,True,3
wild_0066,real,Eason_Chan,,https://www.bilibili.com/video/BV1kf4y1778U/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619,T02,Mandarin,Eason_Chan,【爷青回】陈奕迅《十年》最高音质版本！现象级神曲！,bonafide,,,True,True,True,2
wild_0067,real,Eason_Chan,,https://www.bilibili.com/video/BV1zU4y1H76f/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619,T02,Mandarin,Eason_Chan,【4K60FPS】陈奕迅《淘汰》神级现场！安慰的淘汰！,bonafide,,,True,True,True,3
wild_0068,real,Eason_Chan,,https://www.bilibili.com/video/BV1H3411C7ZJ/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619,T02,Cantonese,Eason_Chan,【4K60FPS】陈奕迅《富士山下》神级现场！你听懂了吗？,bonafide,,,True,True,True,3
wild_0069,real,Eason_Chan,,https://www.bilibili.com/video/BV1yG4y1B7nd/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619,T02,Cantonese,Eason_Chan,【4K60FPS】陈奕迅《Shall We Talk》经典现场！祝大家中秋快乐！,bonafide,,,True,True,True,3
wild_0070,real,Eason_Chan,,https://www.bilibili.com/video/BV1Ak4y1h7Gg/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619,T02,Cantonese,Eason_Chan,【4K | 新歌速递】陈奕迅《尘大师》MV 速听！,bonafide,,,True,True,True,3
wild_0071,real,Eason_Chan,,https://www.bilibili.com/video/BV1Jo4y1a7pA?p=41,T02,Cantonese,Eason_Chan,041. 活着多好,bonafide,,,True,True,True,3
wild_0072,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1nP41197Uy/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《心淡》cover.容祖儿 由这一分钟开始计起春风秋雨间限我对你以半年时间慢慢的心淡,deepfake,,Sovits4.0,True,True,True,3
wild_0073,real,Eason_Chan,,https://www.bilibili.com/video/BV1Jo4y1a7pA?p=20,T02,Cantonese,Eason_Chan,020. 人来人往,bonafide,,,True,True,True,1
wild_0074,real,Eason_Chan,,https://www.bilibili.com/video/BV1dU4y1D7Xt/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619,T02,Cantonese,Eason_Chan,【4K60FPS】陈奕迅《单车》神级现场！献给所有的父亲！,bonafide,,,True,True,True,3
wild_0075,real,Eason_Chan,,https://www.bilibili.com/video/BV1bW4y1S7tF/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619,T02,Cantonese,Eason_Chan,4K 全站效果最好 陈奕迅《浮夸》2014韩国MaMa颁奖典礼Asian Music Awards,bonafide,,,True,True,True,3
wild_0076,real,Eason_Chan,,https://www.bilibili.com/video/BV1P24y1S7Pc/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619,T02,Cantonese,Eason_Chan,【4K新现场】陈奕迅《葡萄成熟时》神级现场！冬至安康！,bonafide,,,True,True,True,3
wild_0077,real,Eason_Chan,,https://www.bilibili.com/video/BV1Zy4y1a7vk/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619,T02,Cantonese,Eason_Chan,【4K60FPS】陈奕迅《倾城》神级翻唱现场！封面一定要帅！,bonafide,,,True,True,True,3
wild_0078,real,Eason_Chan,,https://www.bilibili.com/video/BV1Jo4y1a7pA?p=23,T02,Cantonese,Eason_Chan,023. 岁月如歌,bonafide,,,True,True,True,3
wild_0079,real,Eason_Chan,,https://www.bilibili.com/video/BV1Dy4y1H7vL/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619,T02,Cantonese,Eason_Chan,【4K24FPS】陈奕迅《任我行》纵然是洒脱人生境界，但人不能只当孤岛，境随心转，偶而随着大队走又何况,bonafide,,,True,True,True,3
wild_0080,real,Eason_Chan,,https://www.bilibili.com/video/BV1Jo4y1a7pA?p=72,T02,Cantonese,Eason_Chan,072. 最后派对,bonafide,,,True,True,True,3
wild_0081,real,Eason_Chan,,https://www.bilibili.com/video/BV1Pv411E7Jg/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619,T02,Cantonese,Eason_Chan,【4K60FPS】陈奕迅《约定》神级现场！两鬓斑白都可认得你！,bonafide,,,True,True,True,1
wild_0082,real,Eason_Chan,,https://www.bilibili.com/video/BV1Z84y1s716/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619,T02,Cantonese,Eason_Chan,【4K新现场】陈奕迅《明年今日》 神级现场！祝大家快乐,bonafide,,,True,True,True,3
wild_0083,real,Eason_Chan,,https://www.bilibili.com/video/BV1KA411Z7o8/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619,T02,Cantonese,Eason_Chan,【新歌速递 | MV】陈奕迅《盲婚哑嫁》世事总是兜兜转转，一切可能早已注定,bonafide,,,True,True,True,3
wild_0084,real,Eason_Chan,,https://www.bilibili.com/video/BV1jP4y1G7td/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619,T02,Cantonese,Eason_Chan,【4K60FPS】陈奕迅《最佳损友》经典现场！好好珍惜身边的朋友吧！,bonafide,,,True,True,True,3
wild_0085,real,Eason_Chan,,https://www.bilibili.com/video/BV1Jo4y1a7pA?p=28,T02,Mandarin,Eason_Chan,028. 在这个世界相遇,bonafide,,,True,True,True,3
wild_0086,real,Eason_Chan,,https://www.bilibili.com/video/BV1xc411N7mT/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619,T02,Cantonese,Eason_Chan,【私藏馆】陈奕迅《无条件》神级现场！今天陪大家一起过,bonafide,,,True,True,True,3
wild_0087,real,Eason_Chan,,https://www.bilibili.com/video/BV1Jo4y1a7pA?p=18,T02,Mandarin,Eason_Chan,018. 你的背包,bonafide,,,True,True,True,3
wild_0088,real,Eason_Chan,,https://www.bilibili.com/video/BV1Jo4y1a7pA?p=19,T02,Cantonese,Eason_Chan,019. 最佳损友,bonafide,,,True,True,True,3
wild_0089,real,Eason_Chan,,https://www.bilibili.com/video/BV1TV411e7XT/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619,T02,Cantonese,Eason_Chan,【4K60FPS】陈奕迅《我的快乐时代》神级现场！Eason硬气！,bonafide,,,True,True,True,3
wild_0090,real,Eason_Chan,,https://www.bilibili.com/video/BV1Jo4y1a7pA?p=21,T02,Cantonese,Eason_Chan,021. 白玫瑰,bonafide,,,True,True,True,3
wild_0091,real,Eason_Chan,,https://www.bilibili.com/video/BV1TV4y1J7ix/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619,T02,Cantonese,Eason_Chan,【4K修复】陈奕迅《沙龙》MV 世事变，有没有将你淹盖,bonafide,,,True,True,True,3
wild_0092,real,Eason_Chan,,https://www.bilibili.com/video/BV12y4y1L7wK/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619,T02,Cantonese,Eason_Chan,【4K】陈奕迅 Eason「我们万岁 MV」- 证明可不舍不弃 吻停不知几多岁的你,bonafide,,,True,True,True,3
wild_0093,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1Sg4y1F7DN/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《必杀技》cover.古巨基 何以技痒放过我你已仿佛有神助一讲起你已经等于再杀死我,deepfake,,Sovits4.0,False,False,False,0
wild_0094,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1k24y1K7vW/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《吴哥窟》 cover.吴雨霏 难道你有勇气反悔诺言 你专一,deepfake,,Sovits4.0,False,False,False,0
wild_0095,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1Bs4y1T7Ka/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Mandarin,Eason_Chan,【AI陈奕迅】《后来的我们》cover.五月天 在某处 另一个你 留下了在那里 另一个我 微笑着另一个我们 还深爱着代替我们永恒着,deepfake,,Sovits4.0,False,False,False,0
wild_0096,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1cs4y1M7jv/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Mandarin,Eason_Chan,【AI陈奕迅】《可惜没如果》cover.林俊杰 倘若那天把该说的话好好说该体谅的不执着如果那天我,deepfake,,Sovits4.0,False,False,False,0
wild_0097,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1sh4y1973V/?spm_id_from=pageDriver&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《少女的祈祷》cover.杨千嬅 然而天父并未体恤好人到我睁开眼无明灯指引,deepfake,,Sovits4.0,True,True,True,3
wild_0098,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV11X4y1h7aw/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Japanese,Eason_Chan,【AI陈奕迅】《スパークル（火花）》 你的名字插曲,deepfake,,Sovits4.0,False,False,False,0
wild_0099,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1bT411t7vG/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《最长的电影》cover 周杰伦 再给我两分钟让我把记忆结成冰,deepfake,,Sovits4.0,True,True,True,2
wild_0100,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1ns4y1Q7BX/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《可惜我是水瓶座》cover.杨千嬅 如何笨到底但到底还是我,deepfake,,Sovits4.0,True,True,True,3
wild_0101,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1ec411A7sE/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Mandarin,Eason_Chan,【AI陈奕迅】《水星记》cover.郭顶 还要多远才能进入你的心还要多久才能和你接近,deepfake,,Sovits4.0,False,False,False,0
wild_0102,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1ah411w7Xp/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《晚风心里吹》cover.阿梨粤 愿晚风心里吹 吹散我的泪似栖身花舞堆人间多少美景 都留来伴你,deepfake,,Sovits4.0,False,False,False,0
wild_0103,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1hk4y1x7P8/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Mandarin,Eason_Chan,【AI陈奕迅】《追光者》cover.岑宁儿 我可以跟在你身后像影子追着光梦游我可以等在这路口不管你会不会经过,deepfake,,Sovits4.0,False,False,False,0
wild_0104,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1po4y137AB/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《献世》 cover.陈小春 眼泪还是留给天抚慰你是前度 何必听我吠再不走 有今生 无下世你是否想我 起这个毒誓,deepfake,,Sovits4.0,False,False,False,0
wild_0105,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1hu411s7BA/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Mandarin,Eason_Chan,【AI陈奕迅】《她说》cover.林俊杰 等不到天黑 烟火不会太完美回忆烧成灰 还是等不到结尾,deepfake,,Sovits4.0,False,False,False,0
wild_0106,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1Yo4y1u7mr/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Mandarin,Eason_Chan,【AI陈奕迅】《体面》cover.于文文,deepfake,,Sovits4.0,False,False,False,0
wild_0107,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1Po4y1V7WE/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《分分钟需要你》cover.林子祥 愿我会揸火箭 带你到天空去在太空中两人住,deepfake,,Sovits4.0,True,True,True,2
