protocol,feature_set,method,AUC,EER,reversed,mean_score_real,mean_score_fake,deg_vs_wildwithin
CtrSVDD->Wild_all,FULL,clip_mean,0.464,52.57,True,0.632,0.614,2.52
CtrSVDD->Wild_all,FULL,MIL_mean,0.459,52.15,True,0.595,0.581,2.45
CtrSVDD->Wild_all,FULL,MIL_max,0.431,54.5,True,0.727,0.702,2.67
CtrSVDD->Wild_all,FULL,POOL_RICH,0.482,51.95,True,0.583,0.576,2.75
CtrSVDD->Wild_all,CLEAN,clip_mean,0.326,62.45,True,0.666,0.559,2.17
CtrSVDD->Wild_all,CLEAN,MIL_mean,0.312,63.52,True,0.635,0.544,2.39
CtrSVDD->Wild_all,CLEAN,MIL_max,0.326,63.52,True,0.772,0.693,2.06
CtrSVDD->Wild_all,CLEAN,POOL_RICH,0.3,63.73,True,0.653,0.544,2.32
CtrSVDD->Wild_all,HNR,clip_mean,0.377,59.01,True,0.671,0.58,1.55
CtrSVDD->Wild_all,HNR,MIL_mean,0.302,66.95,True,0.677,0.566,2.09
CtrSVDD->Wild_all,HNR,MIL_max,0.318,62.88,True,0.878,0.788,1.89
CtrSVDD->Wild_all,HNR,POOL_RICH,0.277,69.96,True,0.731,0.552,2.22
CtrSVDD->Wild_T02,FULL,clip_mean,0.503,49.31,False,0.629,0.629,2.37
CtrSVDD->Wild_T02,FULL,MIL_mean,0.471,50.07,True,0.593,0.581,2.36
CtrSVDD->Wild_T02,FULL,MIL_max,0.447,53.48,True,0.726,0.707,2.62
CtrSVDD->Wild_T02,FULL,POOL_RICH,0.5,49.31,True,0.581,0.58,2.61
CtrSVDD->Wild_T02,CLEAN,clip_mean,0.359,60.52,True,0.664,0.585,2.1
CtrSVDD->Wild_T02,CLEAN,MIL_mean,0.339,60.21,True,0.634,0.557,2.26
CtrSVDD->Wild_T02,CLEAN,MIL_max,0.349,62.96,True,0.77,0.706,2.04
CtrSVDD->Wild_T02,CLEAN,POOL_RICH,0.332,61.72,True,0.651,0.562,2.25
CtrSVDD->Wild_T02,HNR,clip_mean,0.425,55.16,True,0.671,0.615,1.45
CtrSVDD->Wild_T02,HNR,MIL_mean,0.335,63.54,True,0.676,0.584,1.99
CtrSVDD->Wild_T02,HNR,MIL_max,0.344,59.68,True,0.877,0.802,1.79
CtrSVDD->Wild_T02,HNR,POOL_RICH,0.313,65.88,True,0.729,0.581,2.09
SingerLens->Wild_all,FULL,clip_mean,0.542,48.93,False,0.251,0.267,2.35
SingerLens->Wild_all,FULL,MIL_mean,0.517,48.93,False,0.286,0.297,2.3
SingerLens->Wild_all,FULL,MIL_max,0.514,50.85,False,0.405,0.418,2.49
SingerLens->Wild_all,FULL,POOL_RICH,0.559,45.06,False,0.246,0.272,2.39
SingerLens->Wild_all,CLEAN,clip_mean,0.471,55.15,True,0.399,0.387,1.92
SingerLens->Wild_all,CLEAN,MIL_mean,0.498,49.79,False,0.425,0.437,1.87
SingerLens->Wild_all,CLEAN,MIL_max,0.478,51.93,False,0.592,0.596,1.68
SingerLens->Wild_all,CLEAN,POOL_RICH,0.504,52.99,False,0.41,0.416,1.93
SingerLens->Wild_all,HNR,clip_mean,0.482,50.21,True,0.419,0.399,1.32
SingerLens->Wild_all,HNR,MIL_mean,0.467,55.8,True,0.433,0.425,1.75
SingerLens->Wild_all,HNR,MIL_max,0.461,55.8,True,0.679,0.668,1.68
SingerLens->Wild_all,HNR,POOL_RICH,0.493,51.29,True,0.402,0.396,1.63
SingerLens->Wild_T02,FULL,clip_mean,0.535,49.53,False,0.246,0.265,2.38
SingerLens->Wild_T02,FULL,MIL_mean,0.523,48.34,False,0.285,0.3,2.27
SingerLens->Wild_T02,FULL,MIL_max,0.505,52.81,False,0.402,0.414,2.59
SingerLens->Wild_T02,FULL,POOL_RICH,0.549,46.08,False,0.242,0.268,2.44
SingerLens->Wild_T02,CLEAN,clip_mean,0.463,55.52,True,0.401,0.383,1.93
SingerLens->Wild_T02,CLEAN,MIL_mean,0.486,52.19,False,0.427,0.435,1.96
SingerLens->Wild_T02,CLEAN,MIL_max,0.463,53.04,True,0.594,0.591,1.72
SingerLens->Wild_T02,CLEAN,POOL_RICH,0.483,53.39,True,0.413,0.405,1.94
SingerLens->Wild_T02,HNR,clip_mean,0.499,49.18,True,0.421,0.415,1.29
SingerLens->Wild_T02,HNR,MIL_mean,0.489,52.95,False,0.435,0.438,1.66
SingerLens->Wild_T02,HNR,MIL_max,0.466,55.61,True,0.683,0.674,1.67
SingerLens->Wild_T02,HNR,POOL_RICH,0.477,52.19,True,0.405,0.387,1.65
Wild_all_within,FULL,clip_mean,0.884,20.82,False,0.356,0.65,
Wild_all_within,FULL,MIL_mean,0.886,21.25,False,0.37,0.629,
Wild_all_within,FULL,MIL_max,0.881,20.39,False,0.501,0.765,
Wild_all_within,FULL,POOL_RICH,0.895,18.87,False,0.359,0.647,
Wild_all_within,CLEAN,clip_mean,0.777,28.76,False,0.398,0.617,
Wild_all_within,CLEAN,MIL_mean,0.8,26.61,False,0.417,0.592,
Wild_all_within,CLEAN,MIL_max,0.762,30.9,False,0.599,0.767,
Wild_all_within,CLEAN,POOL_RICH,0.793,27.47,False,0.395,0.612,
Wild_all_within,HNR,clip_mean,0.668,37.98,False,0.424,0.586,
Wild_all_within,HNR,MIL_mean,0.739,31.97,False,0.425,0.576,
Wild_all_within,HNR,MIL_max,0.719,33.28,False,0.682,0.818,
Wild_all_within,HNR,POOL_RICH,0.733,31.54,False,0.395,0.607,
Wild_T02_within,FULL,clip_mean,0.852,22.24,False,0.306,0.538,
Wild_T02_within,FULL,MIL_mean,0.892,19.89,False,0.314,0.537,
Wild_T02_within,FULL,MIL_max,0.88,22.24,False,0.44,0.69,
Wild_T02_within,FULL,POOL_RICH,0.859,21.71,False,0.309,0.536,
Wild_T02_within,CLEAN,clip_mean,0.754,30.48,False,0.334,0.519,
Wild_T02_within,CLEAN,MIL_mean,0.756,31.33,False,0.363,0.487,
Wild_T02_within,CLEAN,MIL_max,0.712,32.74,False,0.548,0.67,
Wild_T02_within,CLEAN,POOL_RICH,0.752,30.48,False,0.344,0.51,
Wild_T02_within,HNR,clip_mean,0.641,40.98,False,0.345,0.47,
Wild_T02_within,HNR,MIL_mean,0.706,34.65,False,0.363,0.478,
Wild_T02_within,HNR,MIL_max,0.685,35.22,False,0.609,0.733,
Wild_T02_within,HNR,POOL_RICH,0.67,37.97,False,0.343,0.483,
CtrSVDD_within,FULL,clip_mean,0.894,20.15,False,0.345,0.629,
CtrSVDD_within,FULL,MIL_mean,0.905,18.47,False,0.353,0.611,
CtrSVDD_within,FULL,MIL_max,0.88,20.98,False,0.42,0.665,
CtrSVDD_within,FULL,POOL_RICH,0.885,20.27,False,0.356,0.619,
CtrSVDD_within,CLEAN,clip_mean,0.695,35.65,False,0.433,0.537,
CtrSVDD_within,CLEAN,MIL_mean,0.718,33.85,False,0.432,0.528,
CtrSVDD_within,CLEAN,MIL_max,0.686,36.45,False,0.507,0.598,
CtrSVDD_within,CLEAN,POOL_RICH,0.709,35.39,False,0.435,0.536,
CtrSVDD_within,HNR,clip_mean,0.567,46.11,False,0.461,0.511,
CtrSVDD_within,HNR,MIL_mean,0.576,45.34,False,0.459,0.502,
CtrSVDD_within,HNR,MIL_max,0.564,45.38,False,0.571,0.611,
CtrSVDD_within,HNR,POOL_RICH,0.597,43.7,False,0.456,0.517,
SingerLens_within,FULL,clip_mean,0.984,6.18,False,0.265,0.735,
SingerLens_within,FULL,MIL_mean,0.996,3.59,False,0.294,0.72,
SingerLens_within,FULL,MIL_max,0.99,4.52,False,0.434,0.848,
SingerLens_within,FULL,POOL_RICH,0.981,6.27,False,0.284,0.716,
SingerLens_within,CLEAN,clip_mean,0.735,33.37,False,0.412,0.568,
SingerLens_within,CLEAN,MIL_mean,0.792,29.21,False,0.43,0.555,
SingerLens_within,CLEAN,MIL_max,0.732,32.44,False,0.612,0.71,
SingerLens_within,CLEAN,POOL_RICH,0.767,30.97,False,0.404,0.58,
SingerLens_within,HNR,clip_mean,0.693,35.76,False,0.405,0.581,
SingerLens_within,HNR,MIL_mean,0.741,32.16,False,0.432,0.555,
SingerLens_within,HNR,MIL_max,0.652,38.15,False,0.695,0.787,
SingerLens_within,HNR,POOL_RICH,0.741,32.17,False,0.386,0.59,
